LST_DATE,DAY,LST_TIME,T_HR_AVG
20100604,FRIDAY,19:00,12.1
20100604,FRIDAY,20:00,10.3
20100604,FRIDAY,21:00,9.5
20100604,FRIDAY,22:00,9.1
20100604,FRIDAY,23:00,8.7
20100605,SATURDAY,0:00,9.3
20100605,SATURDAY,1:00,9.6
20100605,SATURDAY,2:00,9
20100605,SATURDAY,3:00,8.6
20100605,SATURDAY,4:00,8.4
20100605,SATURDAY,5:00,8.6
20100605,SATURDAY,6:00,9
20100605,SATURDAY,7:00,9.5
20100605,SATURDAY,8:00,10.2
20100605,SATURDAY,9:00,10.9
20100605,SATURDAY,10:00,12
20100605,SATURDAY,11:00,11.4
20100605,SATURDAY,12:00,11.4
20100605,SATURDAY,13:00,11.3
20100605,SATURDAY,14:00,12
20100605,SATURDAY,15:00,13
20100605,SATURDAY,16:00,12.3
20100605,SATURDAY,17:00,11.1
20100605,SATURDAY,18:00,10.7
20100605,SATURDAY,19:00,10.5
20100605,SATURDAY,20:00,10
20100605,SATURDAY,21:00,9.6
20100605,SATURDAY,22:00,8.1
20100605,SATURDAY,23:00,7
20100606,SUNDAY,0:00,5.9
20100606,SUNDAY,1:00,5.3
20100606,SUNDAY,2:00,4.9
20100606,SUNDAY,3:00,4.3
20100606,SUNDAY,4:00,3.9
20100606,SUNDAY,5:00,4.1
20100606,SUNDAY,6:00,5.7
20100606,SUNDAY,7:00,8.3
20100606,SUNDAY,8:00,11.3
20100606,SUNDAY,9:00,13.4
20100606,SUNDAY,10:00,14.3
20100606,SUNDAY,11:00,14.8
20100606,SUNDAY,12:00,14.4
20100606,SUNDAY,13:00,14.7
20100606,SUNDAY,14:00,14.8
20100606,SUNDAY,15:00,14.6
20100606,SUNDAY,16:00,15.1
20100606,SUNDAY,17:00,15.3
20100606,SUNDAY,18:00,14.9
20100606,SUNDAY,19:00,13.9
20100606,SUNDAY,20:00,12.1
20100606,SUNDAY,21:00,9.9
20100606,SUNDAY,22:00,8.1
20100606,SUNDAY,23:00,6.9
20100607,MONDAY,0:00,5.9
20100607,MONDAY,1:00,5.2
20100607,MONDAY,2:00,4.6
20100607,MONDAY,3:00,4
20100607,MONDAY,4:00,3.7
20100607,MONDAY,5:00,4.3
20100607,MONDAY,6:00,6
20100607,MONDAY,7:00,8.8
20100607,MONDAY,8:00,10.7
20100607,MONDAY,9:00,11.9
20100607,MONDAY,10:00,13.1
20100607,MONDAY,11:00,14
20100607,MONDAY,12:00,14.2
20100607,MONDAY,13:00,13.6
20100607,MONDAY,14:00,13.7
20100607,MONDAY,15:00,13.5
20100607,MONDAY,16:00,12.8
20100607,MONDAY,17:00,12.6
20100607,MONDAY,18:00,12
20100607,MONDAY,19:00,11.9
20100607,MONDAY,20:00,10.8
20100607,MONDAY,21:00,9.2
20100607,MONDAY,22:00,7.8
20100607,MONDAY,23:00,6.7
