SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017
40,4,8,8,Colorado,5029196,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154,18704,68382,69919,76226,79755,98134,89660,77049,16789,65919,64742,64734,65723,66345,66953,67638,7842,32017,32727,33582,33934,36264,36975,37427,8947,33902,32015,31152,31789,30081,29978,30211,1747,7759,9764,8698,9170,11000,10495,9973,7136,26056,27570,35698,38071,56245,49056,36653,8883,33815,37334,44396,47241,67245,59551,46626,874,665,570,678,725,808,131,212,12.97051289,12.56791761,12.39060317,12.39487492,12.30575931,12.20595139,12.14625609,6.29980599,6.353066626,6.427862262,6.39970308,6.726295207,6.740774164,6.721043302,6.670706896,6.21485098,5.962740909,5.99517184,5.5794641,5.465177225,5.425212793,1.526695027,1.895417928,1.664866475,1.729394626,2.040294708,1.913304256,1.790925397,5.126893366,5.35197381,6.832881515,7.179910884,10.4323978,8.943216156,6.582050395,6.653588393,7.247391738,8.49774799,8.90930551,12.47269251,10.85652041,8.372975792
40,1,1,9,Connecticut,3574097,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184,6057,11756,5778,4765,-2282,-6326,-6177,499,9492,37642,36850,36138,36158,36324,35332,35183,6832,29328,29086,29783,29674,30355,30380,30245,2660,8314,7764,6355,6484,5969,4952,4938,3537,15927,15424,15474,16228,17668,17932,17758,113,-12363,-17375,-16987,-25157,-30129,-29108,-22270,3650,3564,-1951,-1513,-8929,-12461,-11176,-4512,-253,-122,-35,-77,163,166,47,73,10.49678909,10.25087237,10.03808935,10.04018239,10.09834516,9.83966268,9.80592037,8.178360084,8.091095622,8.272854479,8.239735942,8.438918273,8.460572632,8.429641065,2.318429001,2.159776745,1.765234873,1.800446446,1.659426888,1.379090048,1.376279305,4.441378241,4.290622942,4.298228863,4.506114271,4.911836865,4.993910087,4.949365715,-3.447526791,-4.833348911,-4.718496425,-6.98547675,-8.376088573,-8.106331407,-6.206913755,0.99385145,-0.54272597,-0.420267563,-2.47936248,-3.464251708,-3.112421321,-1.257548041
40,3,5,10,Delaware,897934,897936,899712,907884,916868,925114,934805,944107,952698,961939,1776,8172,8984,8246,9691,9302,8591,9241,2848,11301,11155,10889,10982,11026,11104,11010,1843,7870,7692,8093,8081,8532,8747,9005,1005,3431,3463,2796,2901,2494,2357,2005,479,2013,2342,2182,2503,2771,2792,2722,277,2774,3241,3316,4255,4043,3434,4484,756,4787,5583,5498,6758,6814,6226,7206,15,-46,-62,-48,32,-6,8,30,12.50390021,12.22631897,11.82313399,11.80911642,11.73657947,11.70810916,11.50087458,8.707697959,8.430734697,8.787273708,8.689625731,9.081851625,9.222877418,9.406482795,3.796202249,3.795584277,3.035860285,3.119490688,2.654727843,2.485231745,2.094391783,2.227267597,2.566924163,2.369187104,2.691515061,2.949579331,2.943897765,2.84335882,3.069269903,3.552263541,3.600469494,4.575468072,4.303554397,3.620825546,4.683916586,5.296537501,6.119187703,5.969656598,7.266983132,7.253133729,6.564723311,7.527275405
40,3,5,11,District of Columbia,601723,601766,605040,620336,635630,650114,660797,672736,684336,693972,3274,15296,15294,14484,10683,11939,11600,9636,2246,9199,9231,9446,9334,9652,9589,9715,1180,4671,4542,4811,4650,4892,5181,5422,1066,4528,4689,4635,4684,4760,4408,4293,657,3020,3470,3629,3784,4190,4215,4160,1335,7413,6879,6026,2125,2910,2947,1152,1992,10433,10349,9655,5909,7100,7162,5312,216,335,256,194,90,79,30,31,15.01416708,14.6994425,14.6934382,14.24047857,14.47583224,14.13189573,14.09699429,7.623782415,7.232679866,7.483604823,7.094303122,7.336901299,7.635556551,7.867617398,7.390384666,7.466762635,7.209833373,7.146175446,7.138930945,6.496339177,6.229376888,4.929099313,5.525627286,5.644980649,5.773084519,6.284058962,6.211903274,6.036386642,12.09914345,10.95411819,9.373561144,3.242020244,4.364346439,4.343174128,1.671614762,17.02824276,16.47974547,15.01854179,9.015104763,10.6484054,10.5550774,7.708001405
40,3,5,12,Florida,18801310,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400,41867,250908,243958,243600,312820,370820,388022,327811,50876,213213,214012,212995,218338,221755,225401,225447,41783,174503,173747,181650,181070,190993,199809,203428,9093,38710,40265,31345,37268,30762,25592,22019,23178,105218,110756,112232,128941,141024,145327,144165,10205,105696,91745,99228,144017,196560,216956,160854,33383,210914,202501,211460,272958,337584,362283,305019,-609,1284,1192,795,2594,2474,147,773,11.2383489,11.13523726,10.94351386,11.05993986,11.04183969,11.01527872,10.82812899,9.197964465,9.040213019,9.333032662,9.172124462,9.510108396,9.764605418,9.770565248,2.040384431,2.095024243,1.610481194,1.8878154,1.531731291,1.250673302,1.057563739,5.545987319,5.762734511,5.766390981,6.531523169,7.022003563,7.10208655,6.924187127,5.571182456,4.773575045,5.098255794,7.295199915,9.78730585,10.60257412,7.725753104,11.11716977,10.53630956,10.86464678,13.82672308,16.80930941,17.70466067,14.64994023
40,3,5,13,Georgia,9687653,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379,24006,97899,100576,70602,102077,115683,114087,115759,32499,132615,131873,128658,129559,131674,131268,130814,17209,71112,70413,74819,74839,78527,80957,82029,15290,61503,61460,53839,54720,53147,50311,48785,5132,20214,23842,21499,23849,27436,26824,25870,2828,15349,14474,-5392,23308,34908,36954,41107,7960,35563,38316,16107,47157,62344,63778,66977,756,833,800,656,200,192,-2,-3,13.58531203,13.37334598,12.93503868,12.91352878,12.98343575,12.79842255,12.61283385,7.284837377,7.14063842,7.522164643,7.459424509,7.742988435,7.893179561,7.909078143,6.300474649,6.232707558,5.412874032,5.454104266,5.240447316,4.905242992,4.703755711,2.070757435,2.417836212,2.161469916,2.377100377,2.705268643,2.615297609,2.494335559,1.572378345,1.46781987,-0.542101762,2.323177307,3.44202937,3.602956601,3.963457743,3.643135781,3.885656082,1.619368154,4.700277684,6.147298012,6.21825421,6.457793302
40,4,9,15,Hawaii,1360301,1360301,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538,3516,14506,14449,15266,9672,8610,2363,-1145,4645,19154,18896,19036,18955,18215,18355,18019,2528,10079,10243,10347,10738,11069,12089,12303,2117,9075,8653,8689,8217,7146,6266,5716,1847,6575,8995,7442,7205,8316,7522,6703,-361,-957,-3030,-723,-5682,-6771,-11395,-13537,1486,5618,5965,6719,1523,1545,-3873,-6834,-87,-187,-169,-142,-68,-81,-30,-27,13.97011094,13.63793013,13.59321054,13.41591678,12.80928823,12.8581301,12.617371,7.351192864,7.392745467,7.388576876,7.600111546,7.784024782,8.46864259,8.614879591,6.618918071,6.245184665,6.20463366,5.815805231,5.025263447,4.389487507,4.002491404,4.795524663,6.492018498,5.31417697,5.099534707,5.848039578,5.269346477,4.693614395,-0.697994997,-2.186861151,-0.516279219,-4.021590036,-4.761553148,-7.982478477,-9.478958386,4.097529667,4.305157348,4.797897751,1.077944672,1.08648643,-2.713132,-4.785343991
40,4,8,16,Idaho,1567582,1567650,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943,3262,12268,11493,15514,20204,18933,30702,36917,5968,22953,22363,22702,22434,23036,22862,22981,2569,11884,11898,12301,12540,12890,12720,12653,3399,11069,10465,10401,9894,10146,10142,10328,284,856,1426,1280,1722,2011,1977,1928,-379,219,-499,3703,8396,6716,18579,24597,-95,1075,927,4983,10118,8727,20556,26525,-42,124,101,130,192,60,4,64,14.55442644,14.07428223,14.16723351,13.84567815,14.04756206,13.73361167,13.53029716,7.535607712,7.488074496,7.676466367,7.739360077,7.860439093,7.641131152,7.44958226,7.018818728,6.586207732,6.490767147,6.10631807,6.187122967,6.092480514,6.080714896,0.542786957,0.897461273,0.798786843,1.062773369,1.226326068,1.187619205,1.135129582,0.138867224,-0.31404851,2.310865373,5.181791643,4.095477808,11.16073708,14.48173357,0.681654181,0.583412763,3.109652216,6.244565013,5.321803876,12.34835629,15.61686315
40,2,3,17,Illinois,12830632,12831565,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023,9631,21102,16196,11909,-7965,-20387,-26325,-33703,41833,162427,160151,157510,157522,159246,156140,153991,24059,101616,101292,104307,102710,107597,106734,106830,17774,60811,58859,53203,54812,51649,49406,47161,5619,26356,27463,27034,30546,34192,34142,33699,-13384,-66181,-70084,-68204,-93704,-106544,-109941,-114779,-7765,-39825,-42621,-41170,-63158,-72352,-75799,-81080,-378,116,-42,-124,381,316,68,216,12.63851522,12.44336227,12.22481506,12.22387551,12.37126905,12.15202389,12.01283311,7.906784969,7.870154112,8.095573513,7.970405746,8.358837497,8.306866388,8.333804969,4.731730247,4.573208159,4.129241543,4.253469767,4.012431554,3.845157501,3.679028139,2.050771775,2.133811578,2.09818837,2.370402239,2.656257811,2.657194823,2.628857939,-5.149572272,-5.445364696,-5.293513339,-7.271530523,-8.277033582,-8.556459961,-8.953906211,-3.098800498,-3.311553118,-3.195324969,-4.901128285,-5.620775771,-5.899265139,-6.325048272
40,2,3,18,Indiana,6483802,6484125,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818,5904,25329,20307,31819,25698,17414,23411,32811,20958,83465,83079,83368,83523,84168,83536,83021,13868,57896,58622,60716,59866,62949,61056,60476,7090,25569,24457,22652,23657,21219,22480,22545,1945,8582,9067,9037,10087,11204,11461,11410,-3072,-8616,-13002,417,-7460,-14675,-10480,-976,-1127,-34,-3935,9454,2627,-3471,981,10434,-59,-206,-215,-287,-586,-334,-50,-168,12.83545042,12.73141577,12.7248801,12.69282269,12.74907833,12.61434563,12.48358654,8.903387496,8.983510335,9.26739061,9.097715876,9.534998241,9.219755398,9.093571263,3.932062921,3.747905432,3.457489494,3.595106813,3.214080091,3.394590234,3.390015281,1.319760804,1.389469622,1.379363083,1.532901147,1.69709003,1.730667201,1.71568305,-1.324989406,-1.992487485,0.063648822,-1.133681229,-2.222848642,-1.58253139,-0.146757814,-0.005228603,-0.603017863,1.443011905,0.399219918,-0.525758612,0.148135811,1.568925236
40,2,4,19,Iowa,3046355,3046869,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711,3354,13467,10696,15490,15687,12910,12396,14842,9966,37853,38479,38804,39459,39694,39229,39076,6872,28207,28047,29141,28927,29809,28408,28310,3094,9646,10432,9663,10532,9885,10821,10766,920,4358,4769,5432,6122,6724,6876,6836,-556,-541,-4489,360,-905,-3560,-5280,-2724,364,3817,280,5792,5217,3164,1596,4112,-104,4,-16,35,-62,-139,-21,-36,12.38257725,12.53780501,12.5899905,12.73808039,12.75506761,12.55460175,12.45136683,9.227151253,9.138694275,9.454822005,9.338159895,9.578672103,9.091517155,9.020836188,3.155425993,3.399110731,3.135168492,3.39992049,3.176395509,3.463084594,3.430530639,1.42560092,1.55390712,1.762416977,1.97629256,2.160655883,2.200551674,2.178256312,-0.176973405,-1.46267332,0.116802303,-0.292150403,-1.143952252,-1.6897779,-0.867988618,1.248627516,0.0912338,1.87921928,1.684142157,1.016703631,0.510773774,1.310267694
40,2,4,20,Kansas,2853118,2853130,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123,5273,10353,16560,7584,6653,6236,1942,5392,9990,40125,39579,39723,39293,38999,38779,38205,6002,25180,24971,25596,25502,26558,25341,24821,3988,14945,14608,14127,13791,12441,13438,13384,1145,4428,6305,5232,5887,6851,6540,6198,202,-9045,-4420,-11786,-13002,-12959,-17998,-14150,1347,-4617,1885,-6554,-7115,-6108,-11458,-7952,-62,25,67,11,-23,-97,-38,-40,14.012183,13.75686644,13.74922641,13.56696377,13.43555642,13.3409707,13.12693979,8.793190481,8.67941868,8.859481889,8.805250556,9.149504026,8.717954011,8.528301861,5.218992523,5.077447762,4.889744516,4.761713216,4.286052398,4.623016692,4.598637932,1.54631642,2.191491521,1.81093957,2.032644892,2.360239931,2.249927755,2.129584422,-3.15863415,-1.536303334,-4.079459819,-4.489289771,-4.464508723,-6.191773659,-4.861829553,-1.61231773,0.655188187,-2.268520249,-2.456644879,-2.104268792,-3.941845904,-2.732245131
